dll_name,registration_call_address,interface_uuid,interface_address,flags,security_callback,has_security_descriptor,global_caching_enabled
LsaIso.exe,0x1400306ac,1707e621-44e3-4f54-bb7d-c537eabb55a5,0x14003a040,0,,False,True
lsasrv.dll,0x180054d66,ace1c026-8b3f-4711-8918-f345d17f5bff,0x180117100,0xa9,0x1800437f0,False,False
lsasrv.dll,0x180054da4,afc07e2e-311c-4435-808c-c483ffeec7c9,0x1801170a0,unknown,0x1800d4a60,False,unknown
lsasrv.dll,0x180054f32,d25576e4-00d2-43f7-98f9-b4c0724158f9,0x180117220,0x29,unknown,False,True
lsasrv.dll,0x180054fc7,c0d930f0-b787-4124-99bc-21f0ecb642ce,0x1801171c0,0x29,unknown,False,True
lsasrv.dll,0x18009c2ac,41baa680-50ce-4967-a8fa-0596343a7ccf,0x1801261d0,0x29,0,False,True
lsasrv.dll,0x180053448,3919286a-b10c-11d0-9ba8-00c04fd92ef5,0x180117040,0,,False,True
lsasrv.dll,0x180054d26,12345778-1234-abcd-ef00-0123456789ab,0x180117160,0x91,0x180033ff0,False,False
lsass.exe,0x140003842,fb8a0729-2d04-4658-be93-27b4ad553fac,0x140007000,unknown,0x140001430,False,unknown
lsm.dll,0x180030793,484809d6-4239-471b-b5bc-61df8c23ac48,0x18008f620,0x9,0x180008da0,True,True
lsm.dll,0x1800307d2,e3907f22-c899-44e7-9d11-9d8b3d924832,0x18008f5c0,0x9,0x180008c10,True,True
lsm.dll,0x18003080e,53825514-1183-4934-a0f4-cfdc51c3389b,0x18008f560,0x9,0x180008c10,False,True
lsm.dll,0x180030846,11899a43-2b68-4a76-92e3-a3d6ad8c26ce,0x18008f500,0x9,0x180008da0,True,True
lsm.dll,0x180030882,c2d15ccf-a416-46dc-ba58-4624ac7a9123,0x18008f4a0,0x9,0x180008c10,False,True
lsm.dll,0x1800308ba,88143fd0-c28d-4b2b-8fef-8d882f6a9390,0x18008f440,0x9,0x180008da0,True,True
lsm.dll,0x18003059b,11f25515-c879-400a-989e-b074d5f092fe,0x18008f3e0,0x9,0x180008c20,False,True
lsm.dll,0x1800305d5,1e665584-40fe-4450-8f6e-802362399694,0x18008f380,unknown,0x18002a390,False,unknown
lsm.dll,0x180050c0c,c938b419-5092-4385-8360-7cdc9625976a,0x180093e00,0x11,0x180026ec0,False,True
Microsoft.Bluetooth.Service.dll,0x18012d3e7,unknown,unknown,0x29,0x0,False,True
mispace.dll,0x18000b113,58b19028-b9a0-4c25-887f-aca58b584d1b,0x1802620c0,unknown,0,False,unknown
modernexecserver.dll,0x180021e86,unknown,r8,0x29,0x180017630,True,True
moshost.dll,0x18000a9c6,unknown,rdx,0x29,0x0,False,True
mpnotify.exe,0x140001ca6,3ca78105-a3a3-4a68-b458-1a606bab8fd6,0x140003310,unknown,0x140001560,False,unknown
mprdim.dll,0x180011196,8f09f000-b7ed-11ce-bbd2-00001a181cad,0x180056040,0x1,0,False,True
MPSSVC.dll,0x1800336e0,unknown,unknown,0xffffffffffffffe0,0x0,False,False
NcaSvc.dll,0x18001d156,54f96d15-d9a7-4422-bd32-8b0cebd00400,0x18001eb00,0x29,0x18001c160,False,True
ncbservice.dll,0x18000e848,880fd55e-43b9-11e0-b1a8-cf4edfd72085,0x180033240,unknown,unknown,False,unknown
NetEvtFwdr.exe,0x140002009,22e5386d-8b12-4bf0-b0ec-6a1ea419e366,0x140006390,0,0x1400024c0,False,True
